Date,Month,Product,Product Family,Quarter,Region EN,Select level,Territory EN,Year,Arrow up and down,CY Patients,"CY to PY, %","CY to PY, % negative (for tooltip)","CY to PY, % positive (for tooltip)",Diagnosed Patients,Number of Records,PY Patients
14/04/2020,4,Prd2,FAM1,2,Central,FAM1,Voronezh Oblast,2020,↓,1,0,,,1,1,1
16/07/2019,7,Prd2,FAM1,3,E.Siberia & Far East,FAM1,Buryatia Republic,2019,↓,0,-1,-1,,1,1,1
18/03/2019,3,Prd2,FAM1,1,E.Siberia & Far East,FAM1,Irkutsk Oblast,2019,↓,0,-1,-1,,1,1,1
18/05/2019,5,Prd2,FAM1,2,E.Siberia & Far East,FAM1,Zabaykalsky Oblast,2019,↓,0,-1,-1,,1,1,1
15/01/2019,1,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
21/03/2019,3,Prd2,FAM1,1,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
19/11/2019,11,Prd2,FAM1,4,Moscow,FAM1,Moscow,2019,↓,0,-1,-1,,1,1,1
14/01/2019,1,Prd2,FAM1,1,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
16/01/2019,1,Prd2,FAM1,1,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,2,1,2
14/05/2019,5,Prd2,FAM1,2,Moscow Region,FAM1,Moscow Region,2019,↓,0,-1,-1,,1,1,1
11/03/2020,3,Prd2,FAM1,1,Moscow Region,FAM1,Moscow Region,2020,↓,1,0,,,1,1,1
25/05/2020,5,Prd2,FAM1,2,Moscow Region,FAM1,Moscow Region,2020,↓,1,0,,,1,1,1
25/06/2019,6,Prd2,FAM1,2,North-West,FAM1,Karelia Republic,2019,↓,0,-1,-1,,1,1,1
28/01/2019,1,Prd2,FAM1,1,North-West,FAM1,Saint Petersburg,2019,↓,0,-1,-1,,1,1,1
09/05/2019,5,Prd2,FAM1,2,North-West,FAM1,Saint Petersburg,2019,↓,0,-1,-1,,1,1,1
16/01/2020,1,Prd2,FAM1,1,North-West,FAM1,Saint Petersburg,2020,↓,1,0,,,1,1,1
01/06/2020,6,Prd2,FAM1,2,Southern,FAM1,Adygea Republic,2020,↓,1,0,,,1,1,1
14/01/2019,1,Prd2,FAM1,1,Southern,FAM1,Astrakhan Oblast,2019,↓,0,-1,-1,,1,1,1
18/09/2019,9,Prd2,FAM1,3,Southern,FAM1,Chechen Republic,2019,↓,0,-1,-1,,1,1,1
14/01/2019,1,Prd2,FAM1,1,Southern,FAM1,Crimea Republic,2019,↓,0,-1,-1,,4,1,4
24/01/2019,1,Prd2,FAM1,1,Southern,FAM1,Crimea Republic,2019,↓,0,-1,-1,,1,1,1
16/08/2019,8,Prd2,FAM1,3,Southern,FAM1,Crimea Republic,2019,↓,0,-1,-1,,1,1,1
03/02/2019,2,Prd2,FAM1,1,Southern,FAM1,Dagestan Republic,2019,↓,0,-1,-1,,1,1,1
07/08/2019,8,Prd2,FAM1,3,Southern,FAM1,Ingushetia Republic,2019,↓,0,-1,-1,,1,1,1
10/09/2019,9,Prd2,FAM1,3,Southern,FAM1,Ingushetia Republic,2019,↓,0,-1,-1,,1,1,1
15/10/2019,10,Prd2,FAM1,4,Southern,FAM1,Kabardino-Balkar Republic,2019,↓,0,-1,-1,,1,1,1
01/08/2019,8,Prd2,FAM1,3,Southern,FAM1,Krasnodar Oblast,2019,↓,0,-1,-1,,1,1,1
14/08/2019,8,Prd2,FAM1,3,Southern,FAM1,Krasnodar Oblast,2019,↓,0,-1,-1,,1,1,1
17/07/2019,7,Prd2,FAM1,3,Southern,FAM1,North Ossetia Republic,2019,↓,0,-1,-1,,1,1,1
05/11/2019,11,Prd2,FAM1,4,Southern,FAM1,North Ossetia Republic,2019,↓,0,-1,-1,,1,1,1
14/01/2019,1,Prd2,FAM1,1,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
20/10/2019,10,Prd2,FAM1,4,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
29/10/2019,10,Prd2,FAM1,4,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
01/11/2019,11,Prd2,FAM1,4,Southern,FAM1,Rostov Oblast,2019,↓,0,-1,-1,,1,1,1
