blank,BU Family,Business Unit,Business Unit 1,Business Unit 2,Business Unit 3,Business Unit 4,Business Unit 5,Company,Customer,Date,Month,Product,Product Family,Quarter,Type,Year,Densificator,Incomes,Number of Records,Path,Returns,Sales in seleted currency,Sales M.CHF,Sales M.RUB,Sales M.USD,SOM Competitors,SOM Market,SOM Roche,SOM Roche Onco,SOM Roche SP,zero
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,28/02/2019 00:00:00,2,Prd1,FAM1,1,Return,2019,0,,1,0,-23.694,-23.694,-23.694,-1403.616,-21.34594595,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,29/03/2019 00:00:00,3,Prd1,FAM1,1,Sale,2019,1,23.694,1,1,,23.694,23.694,1403.616,21.34594595,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/03/2019 00:00:00,3,Prd1,FAM1,1,Return,2019,1,,1,1,-23.694,-23.694,-23.694,-1403.616,-21.34594595,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,15/04/2019 00:00:00,4,Prd1,FAM1,2,Return,2019,1,,1,1,-23.694,-23.694,-23.694,-1403.616,-21.34594595,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/04/2019 00:00:00,4,Prd1,FAM1,2,Sale,2019,0,23.694,1,0,,23.694,23.694,1403.616,21.34594595,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,02/05/2019 00:00:00,5,Prd1,FAM1,2,Sale,2019,0,473.885,1,0,,473.885,473.885,28072.314,426.9234234,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,29/05/2019 00:00:00,5,Prd1,FAM1,2,Sale,2019,1,422.175,1,1,,422.175,422.175,25009.064,380.3378378,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/05/2019 00:00:00,5,Prd1,FAM1,2,Sale,2019,1,38.821,1,1,,38.821,38.821,2299.684,34.97387387,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,18/06/2019 00:00:00,6,Prd1,FAM1,2,Sale,2019,0,63.084,1,0,,63.084,63.084,3736.986,56.83243243,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,25/06/2019 00:00:00,6,Prd1,FAM1,2,Return,2019,1,,1,1,-24.263,-24.263,-24.263,-1437.302,-21.85855856,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/06/2019 00:00:00,6,Prd1,FAM1,2,Sale,2019,0,24.263,1,0,,24.263,24.263,1437.302,21.85855856,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,21/08/2019 00:00:00,8,Prd1,FAM1,3,Sale,2019,1,485.258,1,1,,485.258,485.258,28746.05,437.1693694,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,27/08/2019 00:00:00,8,Prd1,FAM1,3,Return,2019,1,,1,1,-24.263,-24.263,-24.263,-1437.303,-21.85855856,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,16/10/2019 00:00:00,10,Prd1,FAM1,4,Sale,2019,0,1800.764,1,0,,1800.764,1800.764,106674.794,1622.30991,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,28/10/2019 00:00:00,10,Prd1,FAM1,4,Return,2019,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/10/2019 00:00:00,10,Prd1,FAM1,4,Return,2019,1,,1,1,-289.11,-289.11,-289.11,-17126.47,-260.4594595,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,06/11/2019 00:00:00,11,Prd1,FAM1,4,Return,2019,0,,1,0,-63.084,-63.084,-63.084,-3736.986,-56.83243243,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/11/2019 00:00:00,11,Prd1,FAM1,4,Return,2019,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/12/2019 00:00:00,12,Prd1,FAM1,4,Return,2019,1,,1,1,-146.63,-146.63,-146.63,-8686.135,-132.0990991,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/01/2020 00:00:00,1,Prd1,FAM1,1,Return,2020,1,,1,1,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,28/02/2020 00:00:00,2,Prd1,FAM1,1,Return,2020,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/03/2020 00:00:00,3,Prd1,FAM1,1,Return,2020,1,,1,1,-97.984,-97.984,-97.984,-6286.766,-88.27387387,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,28/04/2020 00:00:00,4,Prd1,FAM1,2,Sale,2020,0,608.901,1,0,,608.901,608.901,39067.759,548.5594595,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/04/2020 00:00:00,4,Prd1,FAM1,2,Return,2020,0,,1,0,-97.984,-97.984,-97.984,-6286.766,-88.27387387,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,20/05/2020 00:00:00,5,Prd1,FAM1,2,Return,2020,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,29/05/2020 00:00:00,5,Prd1,FAM1,2,Sale,2020,1,4082.933,1,1,,4082.933,4082.933,261965.323,3678.318018,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/06/2020 00:00:00,6,Prd1,FAM1,2,Return,2020,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/07/2020 00:00:00,7,Prd1,FAM1,3,Return,2020,1,,1,1,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,03/12/2020 00:00:00,12,Prd1,FAM1,4,Sale,2020,1,699.887,1,1,,699.887,699.887,44905.47,630.5288288,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,28/02/2019 00:00:00,2,Prd2,FAM1,1,Return,2019,0,,1,0,-118.468,-118.468,-118.468,-7017.875,-106.7279279,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,29/03/2019 00:00:00,3,Prd2,FAM1,1,Sale,2019,1,118.468,1,1,,118.468,118.468,7017.875,106.7279279,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/03/2019 00:00:00,3,Prd2,FAM1,1,Return,2019,1,,1,1,-118.468,-118.468,-118.468,-7017.875,-106.7279279,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,15/04/2019 00:00:00,4,Prd2,FAM1,2,Return,2019,1,,1,1,-213.242,-213.242,-213.242,-12632.176,-192.1099099,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/04/2019 00:00:00,4,Prd2,FAM1,2,Sale,2019,0,118.468,1,0,,118.468,118.468,7017.875,106.7279279,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,02/05/2019 00:00:00,5,Prd2,FAM1,2,Sale,2019,0,2369.358,1,0,,2369.358,2369.358,140357.509,2134.556757,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,27/05/2019 00:00:00,5,Prd2,FAM1,2,Sale,2019,1,246.413,1,1,,246.413,246.413,14597.181,221.9936937,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,29/05/2019 00:00:00,5,Prd2,FAM1,2,Sale,2019,1,1660.616,1,1,,1660.616,1660.616,98372.648,1496.05045,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/05/2019 00:00:00,5,Prd2,FAM1,2,Sale,2019,1,152.7,1,1,,152.7,152.7,9045.761,137.5675676,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,18/06/2019 00:00:00,6,Prd2,FAM1,2,Sale,2019,0,248.138,1,0,,248.138,248.138,14699.361,223.5477477,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,25/06/2019 00:00:00,6,Prd2,FAM1,2,Return,2019,1,,1,1,-151.961,-151.961,-151.961,-9001.969,-136.9018018,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/06/2019 00:00:00,6,Prd2,FAM1,2,Sale,2019,0,95.438,1,0,,95.438,95.438,5653.6,85.98018018,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,04/10/2019 00:00:00,10,Prd2,FAM1,4,Sale,2019,0,1649.073,1,0,,1649.073,1649.073,97688.826,1485.651351,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,16/10/2019 00:00:00,10,Prd2,FAM1,4,Sale,2019,0,4383.311,1,0,,4383.311,4383.311,259661.392,3948.928829,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,28/10/2019 00:00:00,10,Prd2,FAM1,4,Return,2019,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/10/2019 00:00:00,10,Prd2,FAM1,4,Return,2019,1,,1,1,-1078.816,-1078.816,-1078.816,-63907.581,-971.9063063,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,06/11/2019 00:00:00,11,Prd2,FAM1,4,Return,2019,0,,1,0,-248.138,-248.138,-248.138,-14699.361,-223.5477477,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/11/2019 00:00:00,11,Prd2,FAM1,4,Return,2019,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/12/2019 00:00:00,12,Prd2,FAM1,4,Return,2019,1,,1,1,-344.898,-344.898,-344.898,-20431.281,-310.7189189,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/01/2020 00:00:00,1,Prd2,FAM1,1,Return,2020,1,,1,1,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,28/02/2020 00:00:00,2,Prd2,FAM1,1,Return,2020,0,,1,0,,0,0,0,0,,,,,,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,31/03/2020 00:00:00,3,Prd2,FAM1,1,Return,2020,1,,1,1,-244.953,-244.953,-244.953,-15716.459,-220.6783784,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,28/04/2020 00:00:00,4,Prd2,FAM1,2,Sale,2020,0,1522.209,1,0,,1522.209,1522.209,97666.569,1371.359459,1,1,0,0,0,0
,Speciality Business,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Competitor,Cust1,30/04/2020 00:00:00,4,Prd2,FAM1,2,Return,2020,0,,1,0,-244.953,-244.953,-244.953,-15716.459,-220.6783784,1,1,0,0,0,0
